STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
GUJARAT,TOTAL,2002,1532,759,13,267,0,267,1015,807,208,804,12,1098,5327,15742,6195,9547,3665,1385,1457,46,1915,13531,62,750,104,3321,0,3258,50612,106675
GUJARAT,AHMEDABAD COMMR.,2003,90,68,3,18,0,18,157,96,61,31,6,365,959,5377,2287,3090,212,294,394,6,10,1371,3,50,30,595,0,173,5987,16199
GUJARAT,AHMEDABAD RURAL,2003,38,11,1,3,0,3,18,13,5,15,0,21,97,249,70,179,54,50,22,6,8,357,1,18,0,61,0,216,1392,2638
GUJARAT,AHWA-DANG,2003,6,1,0,0,0,0,0,0,0,1,0,2,2,5,0,5,4,2,0,3,1,19,0,2,0,3,0,10,43,104
GUJARAT,AMRELI,2003,19,11,0,6,0,6,28,28,0,0,0,26,88,164,50,114,27,30,16,19,8,328,0,24,1,98,0,80,967,1940
GUJARAT,ANAND,2003,28,21,2,5,0,5,36,32,4,10,1,19,170,432,129,303,40,60,65,9,13,518,0,24,3,130,0,194,1732,3512
GUJARAT,BHARUCH,2003,43,9,0,5,0,5,28,25,3,11,0,31,120,470,178,292,27,101,37,7,26,359,0,19,1,69,0,184,1246,2793
GUJARAT,BHAVNAGAR,2003,57,36,0,5,0,5,70,55,15,15,0,39,304,611,245,366,116,118,95,15,35,119,6,36,11,126,0,10,2991,4815
GUJARAT,DAHOD,2003,43,7,0,0,0,0,19,19,0,26,1,69,88,122,49,73,37,18,2,8,39,275,0,22,0,15,0,0,746,1537
GUJARAT,GANDHINAGAR,2003,23,12,0,0,0,0,34,28,6,5,0,64,157,617,231,386,66,27,32,7,13,332,2,25,2,113,0,184,1665,3380
GUJARAT,HIMATNAGAR,2003,42,12,1,6,0,6,44,44,0,14,0,30,200,331,79,252,58,64,70,16,23,339,2,47,1,160,0,191,2531,4182
GUJARAT,JAMNAGAR,2003,34,19,1,10,0,10,27,21,6,2,0,19,232,388,129,259,40,33,34,15,29,342,0,20,0,150,0,0,1830,3225
GUJARAT,JUNAGADH,2003,52,20,0,13,0,13,47,41,6,14,0,37,243,628,174,454,95,64,104,14,39,449,6,40,8,312,0,158,2489,4832
GUJARAT,KHEDA NORTH,2003,46,13,2,11,0,11,49,46,3,11,0,18,149,366,80,286,42,85,72,18,16,431,0,27,0,125,0,203,1943,3627
GUJARAT,KUTCH,2003,30,22,2,7,0,7,25,23,2,12,0,29,240,285,100,185,57,18,47,5,16,425,0,26,4,165,0,196,1661,3272
GUJARAT,MEHSANA,2003,37,31,0,7,0,7,57,52,5,13,2,53,251,699,147,552,93,53,91,8,16,1166,0,34,1,207,0,122,1848,4789
GUJARAT,NARMADA,2003,13,1,0,4,0,4,3,3,0,4,0,0,21,32,3,29,9,15,3,0,4,83,0,4,0,7,0,35,239,477
GUJARAT,NAVSARI,2003,26,7,0,2,0,2,10,9,1,4,0,7,86,138,57,81,16,50,24,6,1,105,0,6,0,15,0,0,899,1402
GUJARAT,PALANPUR,2003,38,20,1,20,0,20,42,39,3,6,0,44,234,331,59,272,77,39,98,16,18,1267,0,47,1,135,0,125,1229,3788
GUJARAT,PANCHMAHAL,2003,45,8,1,11,0,11,31,31,0,35,0,25,109,337,76,261,51,38,24,8,37,338,0,34,2,74,0,0,984,2192
GUJARAT,PATAN,2003,17,11,1,2,0,2,15,15,0,3,0,9,99,232,37,195,64,50,38,6,9,361,0,21,0,112,0,70,1237,2357
GUJARAT,PORBANDAR,2003,8,6,1,1,0,1,7,5,2,0,0,2,35,78,31,47,14,67,15,4,2,100,0,7,1,44,0,33,533,958
GUJARAT,RAJKOT COMMR.,2003,37,12,1,5,0,5,34,30,4,7,0,51,350,1525,655,870,98,38,77,10,16,357,5,8,13,158,0,87,1913,4802
GUJARAT,RAJKOT RURAL,2003,38,23,1,14,0,14,48,38,10,9,0,34,210,457,111,346,78,61,11,8,47,432,4,35,4,174,0,206,2425,4319
GUJARAT,SURAT COMMR.,2003,75,16,5,25,0,25,62,40,22,16,3,57,388,1749,1192,557,64,54,239,21,7,428,19,17,2,126,0,234,794,4401
GUJARAT,SURAT RURAL,2003,52,11,0,11,0,11,16,9,7,6,0,14,99,203,71,132,32,45,39,7,16,280,0,21,0,204,0,305,795,2156
GUJARAT,SURENDRANAGAR,2003,25,14,0,16,0,16,32,25,7,9,1,19,130,288,56,232,57,113,22,13,16,983,6,42,2,53,0,166,1044,3051
GUJARAT,VADODARA COMMR.,2003,38,28,1,8,0,8,36,31,5,6,0,44,434,1385,692,693,195,97,197,2,20,366,0,17,5,136,0,123,2574,5712
GUJARAT,VADODARA RURAL,2003,74,17,1,14,0,14,52,49,3,21,0,23,94,258,70,188,63,118,49,9,18,440,0,33,0,76,0,227,1628,3215
GUJARAT,VALSAD,2003,31,7,4,5,0,5,13,10,3,22,0,27,234,369,143,226,33,54,47,7,13,214,0,7,0,37,0,0,1357,2481
GUJARAT,W.RLY,2003,9,4,0,2,0,2,4,2,2,10,0,89,21,1178,0,1178,5,17,11,2,0,27,0,9,0,4,0,4,157,1553
GUJARAT,TOTAL,2003,1114,478,29,236,0,236,1044,859,185,338,14,1267,5844,19304,7201,12103,1824,1873,1975,275,516,12611,54,722,92,3684,0,3536,46879,103709
GUJARAT,AHMEDABAD COMMR.,2004,92,62,5,40,0,40,215,122,93,33,4,271,931,5711,2153,3558,162,275,333,7,10,1594,10,63,20,768,0,165,6782,17553
GUJARAT,AHMEDABAD RURAL,2004,26,7,0,12,0,12,32,28,4,9,0,28,96,252,44,208,36,37,13,2,11,341,1,22,0,65,0,220,1603,2813
GUJARAT,AHWA-DANG,2004,4,0,0,2,0,2,0,0,0,0,0,1,3,5,0,5,4,3,2,1,1,27,0,3,0,3,0,17,48,124
GUJARAT,AMRELI,2004,28,14,1,5,0,5,26,23,3,4,0,11,118,158,43,115,38,15,29,12,18,362,1,26,3,116,0,81,1174,2240
GUJARAT,ANAND,2004,21,12,2,12,0,12,41,39,2,13,0,16,148,361,134,227,23,71,20,10,16,413,0,24,3,116,0,184,1710,3216
GUJARAT,BHARUCH,2004,38,7,1,14,0,14,21,16,5,4,0,14,144,370,144,226,42,90,17,5,29,384,0,27,4,65,0,165,1306,2747
GUJARAT,BHAVNAGAR,2004,53,21,0,22,0,22,71,60,11,20,0,87,319,718,219,499,141,99,112,14,32,113,0,41,74,137,0,6,3261,5341
GUJARAT,DAHOD,2004,44,10,1,9,0,9,28,23,5,38,0,56,115,144,64,80,45,14,1,2,21,357,0,26,0,20,0,0,828,1759
GUJARAT,GANDHINAGAR,2004,25,14,0,8,0,8,15,11,4,2,1,31,134,416,186,230,32,11,50,3,7,282,2,16,3,90,0,176,1438,2756
GUJARAT,HIMATNAGAR,2004,35,20,0,10,0,10,47,43,4,15,0,25,200,194,40,154,56,111,57,4,19,383,0,61,0,204,0,217,2395,4053
GUJARAT,JAMNAGAR,2004,42,13,3,8,0,8,32,27,5,4,0,24,176,372,144,228,41,35,30,6,14,447,0,26,4,171,0,3,2343,3794
GUJARAT,JUNAGADH,2004,40,31,0,9,0,9,57,41,16,12,0,44,259,476,179,297,88,71,63,1,26,525,13,49,9,368,0,203,2420,4764
GUJARAT,KHEDA NORTH,2004,53,9,3,8,0,8,24,22,2,9,0,23,124,394,123,271,45,50,58,5,10,374,0,27,0,139,0,196,2092,3643
GUJARAT,KUTCH,2004,28,20,0,13,0,13,37,34,3,11,0,31,294,360,138,222,48,37,64,1,11,407,1,26,0,217,0,234,1798,3638
GUJARAT,MEHSANA,2004,40,26,1,4,0,4,54,47,7,16,0,47,231,621,127,494,99,33,103,0,9,1058,2,25,0,185,0,154,1841,4549
GUJARAT,NARMADA,2004,15,3,0,6,0,6,8,7,1,0,0,6,20,29,6,23,10,8,6,0,6,108,0,2,0,10,0,48,305,590
GUJARAT,NAVSARI,2004,26,2,0,5,0,5,7,7,0,3,2,8,77,147,64,83,9,31,14,2,3,113,1,5,0,19,0,0,725,1199
GUJARAT,PALANPUR,2004,38,21,0,21,0,21,37,36,1,12,0,26,199,328,84,244,78,27,46,4,16,1082,0,33,1,133,0,180,1262,3544
GUJARAT,PANCHMAHAL,2004,51,13,0,7,0,7,28,28,0,32,0,22,156,368,117,251,34,63,10,7,33,323,0,33,3,70,0,0,1053,2306
GUJARAT,PATAN,2004,19,16,0,6,0,6,29,27,2,0,0,9,79,233,29,204,44,25,43,4,3,350,0,19,0,103,0,76,1128,2186
