STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
GUJARAT,SURENDRANAGAR,2010,24,12,2,29,0,29,29,27,2,3,1,15,76,203,95,108,56,37,11,4,6,410,0,36,2,113,0,235,1567,2871
GUJARAT,TAPI,2010,19,2,1,3,0,3,1,1,0,0,0,3,16,59,44,15,3,5,1,3,1,151,0,7,0,17,0,112,263,667
GUJARAT,VADODARA COMMR.,2010,23,25,1,7,0,7,36,30,6,9,0,19,319,1529,1044,485,89,35,115,3,4,276,0,18,0,216,0,180,2448,5352
GUJARAT,VADODARA RURAL,2010,66,16,4,16,0,16,55,50,5,8,0,14,71,212,102,110,37,35,10,7,18,266,0,18,0,85,0,329,1396,2663
GUJARAT,VALSAD,2010,29,10,0,11,0,11,14,8,6,3,1,12,87,284,161,123,49,27,21,4,1,111,0,4,0,15,0,264,874,1821
GUJARAT,W.RLY,2010,8,2,0,0,0,0,6,2,4,3,0,13,10,529,41,488,17,10,9,2,0,71,0,4,1,3,0,4,73,765
GUJARAT,TOTAL,2010,1048,462,44,408,0,408,1447,1290,157,186,18,1384,4071,16794,9817,6977,1623,1214,1002,255,260,10131,19,668,110,5600,0,5907,63788,116439
GUJARAT,AHMEDABAD COMMR.,2011,95,69,2,60,0,60,230,184,46,31,0,720,831,3874,2308,1566,156,312,288,10,6,1427,19,83,16,1390,0,187,10397,20203
GUJARAT,AHMEDABAD RURAL,2011,36,16,3,10,0,10,74,71,3,16,0,37,130,319,136,183,90,88,24,8,7,338,1,22,0,131,0,467,1871,3688
GUJARAT,AHWA-DANG,2011,6,3,0,1,0,1,0,0,0,0,0,0,8,13,9,4,0,1,1,1,1,16,1,1,0,8,0,28,138,227
GUJARAT,AMRELI,2011,26,3,2,10,0,10,79,77,2,1,0,12,101,134,56,78,44,39,16,8,6,231,0,28,1,143,0,158,1084,2126
GUJARAT,ANAND,2011,19,4,3,10,0,10,45,42,3,4,1,8,116,358,237,121,37,35,21,5,11,299,0,20,0,196,0,284,1678,3154
GUJARAT,BHARUCH,2011,34,10,0,13,0,13,28,27,1,9,0,14,124,341,177,164,51,86,13,8,4,235,0,9,0,4,0,312,1636,2931
GUJARAT,BHAVNAGAR,2011,55,26,2,8,0,8,88,88,0,1,2,25,149,449,232,217,81,21,45,22,15,486,0,35,33,181,0,0,2533,4257
GUJARAT,CID CRIME,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,4,0,0,0,0,0,0,0,0,0,1,12
GUJARAT,DAHOD,2011,41,11,3,6,0,6,53,48,5,15,3,29,107,214,122,92,49,6,11,2,21,711,0,11,0,14,0,174,429,1910
GUJARAT,GANDHINAGAR,2011,27,9,1,14,0,14,21,16,5,6,0,20,121,447,216,231,38,13,45,10,4,197,0,16,1,132,0,260,4334,5716
GUJARAT,HIMATNAGAR,2011,35,5,2,10,0,10,48,46,2,6,1,8,101,244,114,130,46,35,36,9,9,151,0,29,4,229,0,298,3361,4667
GUJARAT,JAMNAGAR,2011,40,25,1,21,0,21,65,51,14,10,5,20,196,460,193,267,124,49,47,2,5,479,0,34,8,356,0,1,3178,5126
GUJARAT,JUNAGADH,2011,31,13,0,11,0,11,69,68,1,4,0,13,157,380,233,147,95,21,35,8,16,445,1,26,4,423,0,211,2233,4196
GUJARAT,KHEDA NORTH,2011,45,8,1,12,0,12,53,48,5,7,0,13,82,211,101,110,30,24,37,12,6,280,0,14,0,132,0,277,3624,4868
GUJARAT,KUTCH (EAST(G)),2011,35,11,0,8,0,8,24,17,7,3,1,22,96,256,116,140,34,18,24,3,4,233,2,13,1,137,0,0,1701,2626
GUJARAT,KUTCH (WEST-BHUJ),2011,24,12,1,15,0,15,15,15,0,2,0,6,106,212,112,100,46,31,13,3,6,165,0,14,0,108,0,6,1134,1919
GUJARAT,MEHSANA,2011,28,15,1,9,0,9,71,63,8,8,0,30,185,581,266,315,67,58,47,15,15,446,2,20,2,242,0,222,2304,4368
GUJARAT,NARMADA,2011,14,2,2,7,0,7,4,4,0,1,0,0,9,14,11,3,7,7,3,0,0,82,0,3,0,5,0,76,389,625
GUJARAT,NAVSARI,2011,21,9,1,2,0,2,10,10,0,3,0,8,62,142,74,68,19,24,13,8,2,63,0,6,2,31,0,0,944,1370
GUJARAT,PALANPUR,2011,52,22,0,38,0,38,92,87,5,7,0,62,217,400,193,207,66,33,47,11,25,505,1,64,1,349,0,302,2979,5273
GUJARAT,PANCHMAHAL,2011,49,17,1,10,0,10,60,57,3,15,3,15,107,184,90,94,38,41,21,7,18,279,0,33,0,249,0,0,2393,3540
GUJARAT,PATAN,2011,16,15,0,16,0,16,47,44,3,9,0,22,89,282,96,186,44,35,18,6,20,373,0,43,1,156,0,154,1801,3147
GUJARAT,PORBANDAR,2011,10,9,1,6,0,6,12,9,3,0,1,3,30,76,38,38,13,26,10,5,2,82,0,1,1,84,0,41,459,872
GUJARAT,RAJKOT COMMR.,2011,44,22,0,10,0,10,40,34,6,3,0,36,187,923,733,190,67,67,42,7,12,360,0,17,3,246,0,161,1692,3939
GUJARAT,RAJKOT RURAL,2011,41,23,4,23,0,23,75,69,6,6,0,20,142,257,132,125,60,65,21,4,11,273,2,21,6,279,0,353,2896,4582
GUJARAT,SURAT COMMR.,2011,100,38,2,36,0,36,112,83,29,12,4,78,356,1830,1263,567,64,34,191,42,4,455,0,34,3,276,0,241,4534,8446
GUJARAT,SURAT RURAL,2011,36,8,1,6,0,6,16,14,2,14,0,16,79,301,123,178,31,22,53,3,6,149,0,9,0,55,0,497,2106,3408
GUJARAT,SURENDRANAGAR,2011,32,15,1,19,0,19,44,41,3,5,0,13,104,216,105,111,58,35,12,7,7,441,0,28,4,129,0,248,1619,3037
GUJARAT,TAPI,2011,13,2,4,2,0,2,2,2,0,1,0,1,16,82,23,59,10,13,7,4,2,177,0,3,0,9,0,120,248,716
GUJARAT,VADODARA COMMR.,2011,21,27,2,9,0,9,50,44,6,13,1,83,295,1506,1006,500,78,31,170,10,5,315,1,15,2,240,0,156,2697,5727
GUJARAT,VADODARA RURAL,2011,52,17,2,28,0,28,65,62,3,6,0,15,69,204,127,77,41,23,23,11,3,251,0,19,0,95,0,327,1882,3133
GUJARAT,VALSAD,2011,35,11,0,9,0,9,19,19,0,2,0,7,127,366,231,135,25,32,22,5,10,140,0,6,0,23,0,263,1430,2532
GUJARAT,W.RLY AHMEDABAD,2011,7,0,0,0,0,0,2,1,1,0,0,5,8,212,20,192,6,3,9,0,0,24,0,6,0,0,0,0,43,325
GUJARAT,W.RLY VADODARA,2011,5,1,0,0,0,0,1,1,0,1,2,7,2,554,41,513,0,6,30,0,0,51,0,2,0,0,0,3,40,705
GUJARAT,TOTAL,2011,1126,478,43,439,0,439,1614,1442,172,221,24,1368,4509,16043,8934,7109,1615,1339,1399,256,263,10159,30,685,93,6052,0,5827,69788,123371
GUJARAT,AHMEDABAD COMMR.,2012,90,49,7,63,0,63,229,183,46,24,0,603,701,3622,2252,1370,159,298,246,21,16,1320,11,79,7,1448,0,242,12112,21347
GUJARAT,AHMEDABAD RURAL,2012,34,33,8,5,0,5,67,67,0,15,0,30,125,324,123,201,73,64,15,8,3,518,0,33,0,163,0,329,1826,3673
GUJARAT,AHWA-DANG,2012,7,0,0,1,0,1,1,1,0,1,0,0,9,10,3,7,5,0,5,0,2,14,0,1,1,8,0,21,123,209
GUJARAT,AMRELI,2012,18,19,2,10,0,10,80,75,5,2,0,13,114,149,53,96,56,30,6,7,4,277,0,20,7,146,0,128,1213,2301
GUJARAT,ANAND,2012,25,24,2,9,0,9,56,53,3,3,0,6,110,283,174,109,27,45,36,7,6,316,0,22,1,188,0,234,1591,2991
GUJARAT,BHARUCH,2012,42,12,0,12,0,12,28,22,6,12,0,25,117,302,171,131,44,68,10,10,5,270,0,19,1,0,0,324,1480,2781
GUJARAT,BHAVNAGAR,2012,46,23,1,13,0,13,105,96,9,2,1,30,160,408,216,192,71,18,43,12,19,592,0,30,42,221,0,0,2538,4375
GUJARAT,CID CRIME,2012,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,1,15
GUJARAT,DAHOD,2012,34,13,0,10,0,10,72,67,5,38,3,51,150,202,124,78,55,8,8,0,20,353,0,17,0,7,0,180,462,1683
GUJARAT,GANDHINAGAR,2012,23,4,1,20,0,20,29,26,3,6,0,26,127,376,189,187,52,24,53,4,6,215,0,10,1,159,0,211,5183,6530
GUJARAT,HIMATNAGAR,2012,30,6,1,10,0,10,57,55,2,5,1,9,103,205,114,91,52,20,72,9,4,171,0,22,4,249,0,284,5097,6411
GUJARAT,JAMNAGAR,2012,43,40,2,22,0,22,41,37,4,10,3,48,220,587,256,331,96,53,41,4,4,482,0,40,4,439,0,2,2849,5030
GUJARAT,JUNAGADH,2012,40,17,0,15,0,15,63,53,10,7,0,18,120,275,140,135,117,28,34,9,19,464,1,37,5,411,0,244,1991,3915
GUJARAT,KHEDA NORTH,2012,24,8,0,18,0,18,62,55,7,10,0,11,67,206,90,116,43,28,26,5,6,280,0,22,0,161,0,296,3819,5092
GUJARAT,KUTCH (EAST(G)),2012,19,15,0,17,0,17,25,23,2,3,1,18,98,256,121,135,24,18,32,1,8,287,1,12,0,188,0,5,2002,3030
GUJARAT,KUTCH (WEST-BHUJ),2012,24,5,1,8,0,8,18,17,1,2,0,6,73,168,80,88,50,16,13,1,2,185,0,18,0,127,0,3,1086,1806
GUJARAT,MEHSANA,2012,31,28,2,10,0,10,59,54,5,10,1,35,182,545,206,339,86,35,46,11,18,410,0,28,1,245,0,241,3329,5353
GUJARAT,NARMADA,2012,17,3,0,7,0,7,6,5,1,3,0,0,7,39,17,22,15,4,2,3,2,94,0,3,0,13,0,87,369,674
GUJARAT,NAVSARI,2012,19,9,0,4,0,4,15,15,0,3,0,7,99,224,131,93,18,49,10,8,2,65,0,4,0,114,0,0,892,1542
GUJARAT,PALANPUR,2012,44,32,1,49,0,49,118,107,11,23,0,48,268,433,206,227,79,31,63,8,21,462,0,64,1,349,0,265,2508,4867
GUJARAT,PANCHMAHAL,2012,54,16,1,5,0,5,74,73,1,25,0,20,114,231,142,89,52,21,17,8,20,375,0,36,0,294,0,0,2314,3677
GUJARAT,PATAN,2012,18,15,1,7,0,7,31,31,0,11,0,21,99,271,101,170,51,24,10,11,10,369,0,32,1,151,0,148,1826,3107
GUJARAT,PORBANDAR,2012,18,8,0,10,0,10,8,7,1,1,1,8,51,67,34,33,7,10,12,1,4,68,1,8,0,73,0,49,491,896
GUJARAT,RAJKOT COMMR.,2012,41,28,3,11,0,11,66,50,16,14,0,43,198,1013,775,238,74,84,43,11,8,336,0,10,3,264,0,139,1930,4319
GUJARAT,RAJKOT RURAL,2012,48,21,2,20,0,20,62,58,4,4,1,19,160,275,158,117,68,54,19,9,12,313,3,26,3,292,0,290,2596,4297
GUJARAT,SURAT COMMR.,2012,98,26,1,40,0,40,91,66,25,6,4,68,333,1886,1296,590,65,24,177,14,3,441,3,28,0,299,0,227,5412,9246
GUJARAT,SURAT RURAL,2012,55,16,0,13,0,13,33,30,3,14,2,18,143,495,210,285,50,22,39,4,7,135,1,14,2,94,0,408,2079,3644
GUJARAT,SURENDRANAGAR,2012,40,26,0,19,0,19,51,46,5,4,0,18,123,209,96,113,78,36,5,8,14,428,0,51,5,124,0,248,1498,2985
GUJARAT,TAPI,2012,11,4,2,5,0,5,3,3,0,1,0,4,26,93,36,57,10,18,4,4,9,64,0,9,0,17,0,132,376,792
GUJARAT,VADODARA COMMR.,2012,29,34,0,11,0,11,67,57,10,9,0,112,333,1333,950,383,92,24,175,5,5,375,0,15,4,306,0,156,3355,6440
GUJARAT,VADODARA RURAL,2012,74,6,4,15,0,15,73,72,1,11,0,18,96,310,199,111,55,17,38,5,17,296,0,23,0,90,0,409,1922,3479
GUJARAT,VALSAD,2012,21,14,0,12,0,12,25,19,6,4,0,20,159,551,342,209,26,57,31,8,6,189,0,9,0,15,0,266,1318,2731
GUJARAT,W.RLY AHMEDABAD,2012,3,3,0,1,0,1,2,2,0,0,0,8,8,214,21,193,7,2,3,0,0,37,0,2,0,2,0,3,49,344
GUJARAT,W.RLY VADODARA,2012,5,0,1,0,0,0,3,2,1,4,1,5,2,390,31,359,1,3,22,0,0,33,0,1,0,1,0,2,65,539
GUJARAT,TOTAL,2012,1126,557,43,473,0,473,1720,1527,193,287,19,1366,4695,15952,9057,6895,1758,1240,1361,216,282,10234,21,745,93,6658,0,5573,75702,130121
